"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-17",,,"0.00","0.0","0.0","86","50","67",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-18",,,"0.09","0.0","0.0","90","60","63",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-19",,,"0.01","0.0","0.0","93","56","70",,"    1",,"    1",,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-20",,,"0.00","0.0","0.0","90","57","70",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-21",,,"0.00","0.0","0.0","95","52","69",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-22",,,"0.00","0.0","0.0","95","54","70",,"    1",,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-23",,,"0.00","0.0","0.0","95","58","75",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-24",,,"0.02","0.0","0.0","95","64","77",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-25",,,"0.00","0.0","0.0","98","57","79",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-26",,,"0.03","0.0","0.0","87","70","70",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-27",,,"0.00","0.0","0.0","92","60","71",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-28",,,"0.00","0.0","0.0","96","57","75",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-29",,,"0.00","0.0","0.0","99","59","77",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-30",,,"0.00","0.0","0.0","99","64","77",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-07-01",,,"0.00","0.0","0.0","100","61","74",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-07-02",,,"0.00","0.0","0.0","100","56","80",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-07-03",,,"0.00","0.0","0.0","98","67","74",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-07-04",,,"0.00","0.0","0.0","95","55","70",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-07-05",,,"0.00","0.0","0.0","97","52","69",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-07-06",,,"0.00","0.0","0.0","98","59","76",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-07-07",,,"0.00","0.0","0.0","97","57","83",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-07-08",,,"0.02","0.0","0.0","95","68","68",,"    1",,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-07-09",,,"0.00","0.0","0.0","85","62","70",,"    1",,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-07-10",,,"0.00","0.0","0.0","98","60","83",,,,,,
